zipcode,population,pop_density
91358,30804,1550.7
91359,30804,1550.7
91360,43342,1132.5
91361,20443,235.7
91362,36062,709
91377,13730,1007.5
93001,33185,62.1
93002,33185,62.1
93003,52272,947
93004,30502,1597.5
93005,30502,1597.5
93006,30502,1597.5
93007,30502,1597.5
93009,30502,1597.5
93010,45092,748.4
93011,45092,748.4
93012,36225,254.9
93015,17817,87.4
93016,17817,87.4
93020,17817,87.4
93021,38063,297.5
93022,7232,510.2
93023,20231,29.5
93024,20231,29.5
93030,59755,1635.9
93031,59755,1635.9
93032,59755,1635.9
93033,83782,1089.3
93034,83782,1089.3
93035,29404,2640.4
93036,47442,1031.9
93040,2007,11.1
93041,24506,822.2
93042,107,1
93043,184,266.9
93044,184,266.9
93060,34181,106.5
93061,34181,106.5
93062,34181,106.5
93063,56651,636.8
93064,0,2.7
93065,72061,884.3
93066,3112,28.8
93094,454,586.4
93099,454,586.4
95605,14960,1403.9
95606,240,2.1
95607,327,1.2
95612,1078,8.6
95616,52088,658.9
95617,52088,658.9
95618,26743,301.5
95627,4263,26.4
95637,227,6.8
95645,1652,6.1
95653,563,39.5
95679,71,0.5
95691,37906,322.7
95694,10386,23.7
95695,40857,103.1
95697,420,708
95698,179,2.1
95776,23375,91.5
95798,23375,91.5
95799,23375,91.5
95937,1442,11.3
95692,5152,33.9
95901,33442,61.5
95903,1630,45.9
95918,2643,13.1
95919,1182,21.5
95922,454,4.2
95925,209,3.4
95935,602,10.3
95961,27728,223.6
95962,1278,20.4
95972,6254,22.8
95981,32,0.9
80011,50675,743.3
80019,2967,26.6
80022,50392,358.5
80024,336,2153.3
80030,16607,2243.5
80031,35509,1553.2
80035,25323,1117.2
80036,25323,1117.2
80037,25323,1117.2
80040,25323,1117.2
80042,25323,1117.2
80045,889,159.6
80102,5648,7.2
80136,5026,9.2
80137,1658,4.9
80221,42046,1605.8
80229,54946,1503.3
80233,50478,1924.8
80234,28254,1408.1
80241,33431,1856.1
80260,34538,2506.3
80601,39816,487.9
80602,34857,355.1
80603,13504,57.5
80614,338,1
80640,12864,336.2
81101,15477,13.8
81102,15477,13.8
81136,197,1.1
81146,772,0.9
80010,43477,2794.4
80012,53032,2316.4
80013,72887,1921.1
80014,39243,2008.1
80015,67959,1683.8
80016,54651,338.5
80017,36613,2267.7
80018,13046,133.9
80041,25323,1117.2
80044,25323,1117.2
80046,889,159.6
80047,889,159.6
80103,2749,3.4
80105,1123,0.9
80110,22523,1271.2
80111,32864,1038.8
80112,33081,610.5
80113,23117,1050.8
80120,31830,1322.3
80121,19414,920.4
80122,33103,1629.6
80150,33603,181.9
80151,33603,181.9
80155,33603,181.9
80160,33603,181.9
80161,33603,181.9
80165,33603,181.9
80166,33603,181.9
81121,333,2.2
81128,100,0.2
81147,12288,3.3
81157,263,0.3
81029,247,0.2
81064,269,0.2
81073,1839,1.2
81084,76,0.2
81087,123,1.4
81090,1025,0.6
81038,0,1621.2
81044,228,0.3
81054,4858,2.1
81057,512,3.1
80020,49657,913.6
80025,365,8.3
80026,29576,458.4
80027,33830,615.7
80038,25323,1117.2
80301,25690,300.2
80302,29109,125.8
80303,24631,392.3
80304,27038,1084.5
80305,17502,905.3
80306,17502,905.3
80307,17502,905.3
80308,17502,905.3
80309,17502,905.3
80310,7291,5853.6
80314,7291,5853.6
80455,438,5.5
80466,3739,14.3
80471,0,11.5
80481,537,3.1
80501,41951,1232.5
85213,36902,1296.3
85214,36902,1296.3
85215,16929,74.4
85216,16929,74.4
85224,44333,1770.7
85225,70066,2103.7
85226,38884,180
85233,35284,1490.5
85234,49894,1625.6
85236,49894,1625.6
85244,49894,1625.6
85246,49894,1625.6
85248,33302,380.7
85249,39052,1031.7
85250,17734,652.8
85251,41575,1801.6
85252,41575,1801.6
85253,18643,366.1
85254,46333,1296.5
85255,41625,164.3
85256,5862,58.2
85257,33369,1575.9
85258,25152,1050.9
85259,23124,403.8
85260,38934,959.4
85261,38934,959.4
85262,11546,34.4
85263,2600,2.4
85264,1388,2.3
85266,12937,257
85267,12937,257
85268,24812,425.4
85269,24812,425.4
85271,24812,425.4
85274,24812,425.4
85275,24812,425.4
85277,24812,425.4
85280,24812,425.4
85281,65283,1657.6
85282,54649,1681.9
85283,51119,1967.1
85284,18945,819.4
85285,18945,819.4
85286,42979,925.3
85287,42979,925.3
85295,45763,1170.9
85296,43643,1254.9
85297,33029,987
85298,30987,579.5
85299,30987,579.5
85301,68300,2505.5
85302,40434,2335.4
85303,33380,1848.2
85304,27746,1794.9
85305,12760,659.4
85306,25206,1666.4
85307,11212,286.5
85308,66057,1444
85309,681,167.1
85310,19649,805.1
85311,19649,805.1
85312,19649,805.1
85318,19649,805.1
85320,1480,0.8
85322,626,0.8
85323,42812,820.7
85326,60999,54.1
85327,60999,54.1
85329,302,0.6
85331,29905,92.6
85335,35004,1230.5
85337,2669,1.9
85338,48517,215
85339,46251,64.7
85340,33531,336.6
85342,1380,1.3
85343,195,9.5
85345,56790,1662.5
85351,29107,988
85353,41818,552.2
85354,7547,4.3
85355,12385,96
85358,342,0.5
85361,5743,21.8
85363,6747,1495.7
85372,346,0.9
85373,19088,588.1
85374,47709,1120.8
85375,28759,580
85376,28759,580
85377,3299,139.1
85378,3299,139.1
85379,47791,1425.8
85380,47791,1425.8
85381,25446,1408.3
85382,39556,1578.2
85383,50308,151
85385,50308,151
85387,10651,67.6
85388,29408,691.4
85390,8706,5.6
85392,38856,1440.8
85395,29710,701
85396,19085,56.8
85360,156,0.1
86021,6023,88.3
86401,25709,8.4
86402,25709,8.4
86403,18119,608.9
86404,16525,36.2
86405,16525,36.2
86406,22995,37.4
86409,28158,30.6
86411,217,0.2
86412,217,0.2
86413,12574,6.6
86426,14587,147.7
86427,14587,147.7
86429,7743,33
86430,7743,33
86431,459,2.7
86432,3735,0.5
86433,0,0.3
86434,1657,0.7
86436,1079,7.3
86437,115,0.4
86438,837,0.3
86439,837,0.3
86440,7329,23.3
86441,2404,1.7
86442,33551,338.5
86443,0,0.1
86444,986,1
86445,221,0.4
86446,221,0.4
85901,18344,25.5
85902,18344,25.5
85911,2222,1.1
85912,292,1.6
85923,469,3.8
85926,453,14.9
85928,1327,1.5
85929,7407,53.2
85933,2659,12.7
85934,322,3.8
85935,4832,37.9
85937,7793,9.6
85939,4248,30.4
85941,11149,4.6
85942,87,0.6
86025,5660,3.1
86029,175,2
86030,1531,2.3
86031,1704,1.6
86032,1688,2.9
86033,7407,2.6
86034,1927,1.8
86039,1273,1.9
86042,2181,9.7
86043,2838,6.6
86047,15393,3.4
86054,1718,1.8
86510,4693,2.8
86520,1689,2.8
85321,4370,1.1
85341,0,10.7
85601,646,2.2
85614,23617,62.3
85619,157,0.1
85622,6233,50.1
85629,25362,39.5
85633,45,0.1
85634,6637,0.9
85639,1871,2.4
85641,26441,18.1
85652,15747,141.3
85653,17978,16.7
85654,0,608.9
85701,5347,1330.4
85702,5347,1330.4
85703,5347,1330.4
85704,32351,668.1
85705,56450,1633.8
85706,55352,1701.2
85707,665,56
85708,4025,800.3
85709,4025,800.3
85710,54663,1740.1
85711,39521,1862.6
85712,33612,1852.4
85713,46640,817
85714,15693,880.5
85715,17137,1023.2
85716,30313,1798.1
85717,30313,1798.1
85718,26398,277.3
85719,48369,2074.9
85720,48369,2074.9
85721,48369,2074.9
85722,48369,2074.9
85723,0,0
85724,0,0
85725,0,0
85726,0,0
85728,0,0
85730,38219,318.8
85731,38219,318.8
85732,38219,318.8
85733,38219,318.8
85734,38219,318.8
85735,11274,22.8
85736,4612,5.4
85737,21795,332.1
85738,21795,332.1
85739,18511,37
85740,18511,37
85741,35219,1265.9
85742,27899,338.8
85743,30217,116.7
85744,30217,116.7
85745,39414,212.2
85746,44823,217.8
85747,25777,150.9
85748,18372,590.5
85749,18813,122.2
85750,24535,469.3
85751,24535,469.3
85752,24535,469.3
85754,24535,469.3
85755,16434,173.1
85756,42023,203
85757,20312,255.2
85775,20312,255.2
85117,8510,39.7
85118,12908,29.7
85119,22447,186
85120,31795,608.9
85121,1676,11.5
85122,57860,393.2
85123,11845,155
85128,16745,35
85130,16745,35
85131,19387,25.8
85132,36774,21.5
85137,2576,4.3
85138,36636,175.3
85139,18184,35.9
85140,46804,422.7
85141,401,4.7
85143,38235,375.9
85145,3763,36.6
85147,3551,24.6
85172,2072,8
85173,3048,29.7
85178,3048,29.7
85191,3048,29.7
85193,5077,7.3
85194,7472,34.2
85618,1954,5.9
85623,5337,4.5
85631,3771,12
85658,11586,13.4
85611,839,1.2
85621,22274,31.5
85624,1316,1.4
85628,1243,21.7
85637,1245,4.1
85640,255,23
85645,2410,4.2
85646,1286,3.9
85648,19771,46.9
85662,11586,13.4
85324,3172,3.8
85332,1693,2
85362,700,3.5
86301,22919,257.4
86302,22919,257.4
86303,17194,49.4
86304,17194,49.4
86305,18204,5.4
86312,18204,5.4
86313,237,884.4
86314,38932,183.8
86315,7676,45.9
86320,2045,0.8
86321,2217,2.9
86322,12002,11.5
86323,16394,43.1
86324,4589,9.6
86325,5449,33.2
86326,25015,166.6
86327,9010,17.1
86329,1055,12.3
86331,445,4.2
86332,1810,1.3
86333,7417,4.5
86334,4351,8.5
86335,5364,10
86337,1305,0.4
86338,464,1
86340,464,1
86341,464,1
86342,464,1
86343,68,0.7
85333,715,0.4
85336,441,70.4
85347,679,1.3
85349,30795,548.5
85350,22306,83.2
85352,510,2.9
85356,4889,10.6
85364,74382,732.5
85365,50690,13.1
85366,50690,13.1
85367,22526,173.9
85369,22526,173.9
94501,63843,2935.3
94502,14619,1959
94536,73855,1821.6
94537,73855,1821.6
94538,68111,1433.3
94539,52802,760.2
94540,52802,760.2
94541,66056,3204.8
94542,14217,861.4
94543,14217,861.4
94544,79235,2573.4
94545,32525,532.2
94546,44272,1708.2
94550,50500,77.9
94551,45753,180.9
94552,15412,124.2
94555,38388,1135.4
94557,16368,481.2
94560,46276,1190.6
94566,45910,804.2
94568,54420,1162.1
94577,48088,2158.9
94578,41059,3316.5
94579,22040,2539.6
94580,29942,3042.9
94586,899,6.1
94587,74601,1361
94588,36316,374.4
94601,52299,5979.9
94602,29933,3309.2
94603,34593,3717.4
94604,34593,3717.4
94605,43112,1682.1
94606,38303,6190
94607,26254,1636.8
94608,30289,3963.9
94609,22811,4655
94610,31496,5182.2
94611,39384,1336.6
94612,16062,6498.7
94613,861,1086.7
94614,861,1086.7
